code,icao,ident,name,city,state,lat,lon,type,runways
NRS,KNRS,KNRS,Naval Outlying Field Imperial Beach (Ream Field),Imperial Beach,CA,32.5667,-117.116997,small_airport,1.0
NGW,KNGW,KNGW,Cabaniss Field Naval Outlying Landing Field,Corpus Christi,TX,27.704426,-97.440578,small_airport,2.0
NEN,KNEN,KNEN,Whitehouse Naval Outlying Field,Jacksonville,FL,30.353900909424,-81.87190246582,small_airport,1.0
DGN,KNDY,KNDY,Dahlgren Naval Surface Warfare Center Airport,Dahlgren,VA,38.3325,-77.037201,small_airport,1.0
NHX,KNBJ,KNBJ,Naval Outlying Field Barin,Foley,AL,30.389099121100003,-87.63529968259999,small_airport,2.0
ONH,KN66,KN66,Albert S Nader Regional Airport,Oneonta,NY,42.5247,-75.0644,small_airport,1.0
SXY,N23,KN23,Sidney Municipal Airport,Sidney,NY,42.302600860596,-75.416000366211,small_airport,1.0
CTX,KN03,KN03,Cortland County Chase Field,Cortland,NY,42.59260178,-76.21489716,small_airport,1.0
MZZ,KMZZ,KMZZ,Marion Municipal Airport,Marion,IN,40.4898986816,-85.6797027588,small_airport,2.0
OCH,KOCH,KOCH,A L Mangham Jr. Regional Airport,Nacogdoches,TX,31.57799911,-94.70950317,small_airport,1.0
OCW,KOCW,KOCW,Warren Field,Washington,NC,35.570499420166,-77.049797058105,small_airport,2.0
ODT,KODO,KODO,Odessa Schlemeyer Field,Odessa,TX,31.920601,-102.387001,small_airport,3.0
OEA,KOEA,KOEA,O'Neal Airport,Lawrenceville,IL,38.68521,-87.543138,small_airport,1.0
ONY,KONY,KONY,Olney Municipal Airport,Olney,TX,33.350899,-98.819199,small_airport,3.0
ONM,KONM,KONM,Socorro Municipal Airport,Socorro,NM,34.022499,-106.903,small_airport,2.0
ONL,KONL,KONL,O'Neill Municipal Airport–John L Baker Field,O'Neill,NE,42.468916,-98.686989,small_airport,2.0
ONA,KONA,KONA,Winona Municipal Airport Max Conrad Field,Winona,MN,44.077202,-91.708298,small_airport,1.0
OMK,KOMK,KOMK,Omak Airport,Omak,WA,48.4644012451,-119.517997742,small_airport,1.0
OLY,KOLY,KOLY,Olney Noble Airport,Olney-Noble,IL,38.721802,-88.176399,small_airport,2.0
OLV,KOLV,KOLV,Olive Branch Airport,Olive Branch,MS,34.9786987305,-89.78690338130001,small_airport,1.0
OLE,KOLE,KOLE,Cattaraugus County-Olean Airport,Olean,NY,42.241199,-78.371399,small_airport,1.0
MZJ,KMZJ,KMZJ,Pinal Airpark,Marana,AZ,32.5106010437,-111.32800293,small_airport,1.0
OLD,KOLD,KOLD,Dewitt Field - Old Town Municipal Airport,Old Town,ME,44.952801,-68.674301,small_airport,2.0
OKS,KOKS,KOKS,Garden County Airport/King Rhiley Field,Oshkosh,NE,41.401001,-102.355003,small_airport,1.0
OKM,KOKM,KOKM,Okmulgee Regional Airport,Okmulgee,OK,35.668098449707,-95.948699951172,small_airport,1.0
OKK,KOKK,KOKK,Kokomo Municipal Airport,Kokomo,IN,40.528198242188,-86.05899810791,small_airport,2.0
ODW,KOKH,KOKH,AJ Eisenberg Airport,Oak Harbor,WA,48.251499176,-122.674003601,small_airport,1.0
OJC,KOJC,KOJC,Johnson County Executive Airport,Olathe,KS,38.84759903,-94.73760223,small_airport,1.0
OIC,KOIC,KOIC,Lt Warren Eaton Airport,Norwich,NY,42.566600799561,-75.524101257324,small_airport,1.0
OGA,KOGA,KOGA,Ogallala Municipal Airport Searle Field,Ogallala,NE,41.119499,-101.769997,small_airport,2.0
OEO,KOEO,KOEO,L O Simenstad Municipal Airport,Osceola,WI,45.310001,-92.691902,small_airport,1.0
WGO,KOKV,KOKV,Winchester Regional Airport,Winchester,VA,39.14350128,-78.14440155,small_airport,1.0
JEF,KJEF,KJEF,Jefferson City Memorial Airport,Jefferson City,MO,38.5912017822,-92.1560974121,small_airport,2.0
MYF,KMYF,KMYF,Montgomery-Gibbs Executive Airport,San Diego,CA,32.8157,-117.139999,small_airport,3.0
MXA,KMXA,KMXA,Manila Municipal Airport,Manila,AR,35.894402,-90.154602,small_airport,1.0
MPR,KMPR,KMPR,Mc Pherson Airport,Mc Pherson,KS,38.352402,-97.691299,small_airport,1.0
MPO,KMPO,KMPO,Pocono Mountains Municipal Airport,Mount Pocono,PA,41.136025,-75.379572,small_airport,2.0
MPJ,KMPJ,KMPJ,Petit Jean Park Airport,Morrilton,AR,35.138901,-92.909202,small_airport,1.0
